Date : 2025-05-12 16:21:04
Directory : c:\abtik digital react\abtik-digital fn
Total : 90 files,  14631 codes, 909 comments, 773 blanks, all 16313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |      6,872 |          4 |          9 |      6,885 |
| TypeScript JSX     |         51 |      6,789 |        643 |        592 |      8,024 |
| CSS                |         17 |        672 |        247 |        114 |      1,033 |
| XML                |          4 |        124 |          7 |         27 |        158 |
| TypeScript         |          6 |         52 |          7 |         15 |         74 |
| Markdown           |          1 |         45 |          0 |         10 |         55 |
| HTML               |          1 |         32 |          1 |          3 |         36 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| JSON with Comments |          1 |         17 |          0 |          1 |         18 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |         90 |     14,631 |        909 |        773 |     16,313 |
| . (Files)                                                                                       |         11 |      6,618 |          7 |         27 |      6,652 |
| components                                                                                      |          3 |        378 |          0 |         35 |        413 |
| components\ui                                                                                   |          3 |        378 |          0 |         35 |        413 |
| public                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src                                                                                             |         75 |      7,634 |        902 |        711 |      9,247 |
| src (Files)                                                                                     |          5 |         84 |          5 |         18 |        107 |
| src\apis                                                                                        |          4 |         45 |          0 |         11 |         56 |
| src\assets                                                                                      |          3 |        123 |          7 |         27 |        157 |
| src\assets (Files)                                                                              |          1 |          1 |          0 |          0 |          1 |
| src\assets\Services                                                                             |          1 |          9 |          0 |          1 |         10 |
| src\assets\Services\WebDevelopement                                                             |          1 |          9 |          0 |          1 |         10 |
| src\assets\svg                                                                                  |          1 |        113 |          7 |         26 |        146 |
| src\components                                                                                  |          6 |        537 |          0 |         64 |        601 |
| src\components\ui                                                                               |          6 |        537 |          0 |         64 |        601 |
| src\data                                                                                        |          2 |        389 |          0 |          1 |        390 |
| src\layout                                                                                      |          1 |        327 |          3 |         18 |        348 |
| src\lib                                                                                         |          1 |          5 |          0 |          2 |          7 |
| src\pages                                                                                       |         25 |      4,205 |        158 |        273 |      4,636 |
| src\reducers                                                                                    |          1 |         20 |          4 |          6 |         30 |
| src\section                                                                                     |          6 |      1,124 |        478 |        162 |      1,764 |
| src\store                                                                                       |          1 |          4 |          0 |          1 |          5 |
| src\styles                                                                                      |         15 |        663 |        247 |        111 |      1,021 |
| src\utils                                                                                       |          4 |         98 |          0 |         15 |        113 |
| src\validation                                                                                  |          1 |         10 |          0 |          2 |         12 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\abtik digital react\abtik-digital fn\.env                                                    | Properties         |          1 |          0 |          0 |          1 |
| c:\abtik digital react\abtik-digital fn\README.md                                               | Markdown           |         45 |          0 |         10 |         55 |
| c:\abtik digital react\abtik-digital fn\components.json                                         | JSON               |         21 |          0 |          0 |         21 |
| c:\abtik digital react\abtik-digital fn\components\ui\dialog.tsx                                | TypeScript JSX     |        121 |          0 |         13 |        134 |
| c:\abtik digital react\abtik-digital fn\components\ui\dropdown-menu.tsx                         | TypeScript JSX     |        238 |          0 |         18 |        256 |
| c:\abtik digital react\abtik-digital fn\components\ui\label.tsx                                 | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\abtik digital react\abtik-digital fn\eslint.config.js                                        | JavaScript         |         27 |          0 |          2 |         29 |
| c:\abtik digital react\abtik-digital fn\index.html                                              | HTML               |         32 |          1 |          3 |         36 |
| c:\abtik digital react\abtik-digital fn\package-lock.json                                       | JSON               |      6,358 |          0 |          1 |      6,359 |
| c:\abtik digital react\abtik-digital fn\package.json                                            | JSON               |         62 |          0 |          1 |         63 |
| c:\abtik digital react\abtik-digital fn\public\vite.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\abtik digital react\abtik-digital fn\src\App.css                                             | CSS                |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\App.tsx                                             | TypeScript JSX     |         65 |          4 |         11 |         80 |
| c:\abtik digital react\abtik-digital fn\src\apis\apis.tsx                                       | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\abtik digital react\abtik-digital fn\src\apis\careerApis.tsx                                 | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\abtik digital react\abtik-digital fn\src\apis\emailMarketingApis.tsx                         | TypeScript JSX     |         10 |          0 |          1 |         11 |
| c:\abtik digital react\abtik-digital fn\src\apis\quoteApis.tsx                                  | TypeScript JSX     |         10 |          0 |          5 |         15 |
| c:\abtik digital react\abtik-digital fn\src\assets\Services\WebDevelopement\app-development.svg | XML                |          9 |          0 |          1 |         10 |
| c:\abtik digital react\abtik-digital fn\src\assets\react.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\abtik digital react\abtik-digital fn\src\assets\svg\abtik-svg-premium-logo.svg               | XML                |        113 |          7 |         26 |        146 |
| c:\abtik digital react\abtik-digital fn\src\components\ui\button.tsx                            | TypeScript JSX     |         54 |          0 |          6 |         60 |
